,T_ext,T_ext1,T_ext2
0,10.233333333333336,10.726530700766972,10.824337995276661
1,5.4,10.71824909,8.680842707236142
2,5.8,10.672053111267436,8.122263347248849
3,5.9,10.562668074922344,7.834697127087217
4,6.5,10.411758880236237,7.875651842792113
5,6.9,10.252627821770133,7.958493623544197
6,7,10.104630273574626,7.962098168020521
7,7.4,9.977098359594187,8.090034378778997
8,7.9,9.871768940269536,8.304181761617208
9,8.5,9.790377796833234,8.600177458238676
10,9.3,9.735337269440972,9.019616598669225
11,10.8,9.712301260375463,9.785514939223297
12,12.3,9.727033862174851,10.671615104796949
13,12.8,9.783505984520696,11.207434822374962
14,13,9.877792016363703,11.544118637910273
15,12.7,9.996654400470133,11.608059074991775
16,11.1,10.115773784669127,11.032959965624542
17,11.5,10.221257881534237,11.090087066508481
18,11.9,10.304787814435418,11.277768250645417
19,11.9,10.374447530044016,11.347175715922894
20,11.6,10.435627488517593,11.267533803397999
21,11.6,10.49010746,11.267799315661753
22,11.6,10.537470436180307,11.279817623595726
23,11.5,10.57855215956784,11.251920125462947
24,11.2,10.613006263626056,11.127433745198514
25,11.1,10.638079853969057,11.055274780906887
26,11.3,10.656176275254047,11.115930170073332
27,10.9,10.666940400553113,10.961081327862502
28,10.5,10.671249687565076,10.750269370950965
29,10.2,10.668340181318953,10.553991630663484
30,10,10.655081950341362,10.394232746543743
31,10,10.632333065798832,10.324391976223515
32,10.5,10.606655218756323,10.490238523304058
33,10.3,10.58057316217274,10.434972038558003
34,11.5,10.564566677870458,10.922177195091246
35,11.2,10.559647736416833,10.931460502196265
36,10.4,10.562320408549377,10.624703867640145
37,10.8,10.569174506292443,10.71755044869275
38,10.6,10.573294579817961,10.64842332951295
39,7.8,10.55956072,9.450035889271378
40,8,10.527820581379462,9.178959281910943
41,8.3,10.467935960074051,9.142967401901613
42,8.7,10.389226515075242,9.237056956015678
43,9,10.30975249974996,9.348909402908728
44,8.8,10.239480071853047,9.274369693917217
45,8.9,10.182459986795068,9.283186322793675
46,9.1,10.133585401317154,9.353438792078252
47,9.2,10.09157994716102,9.403695041966504
48,9.1,10.05693005724215,9.370713003953359
49,8.9,10.025143840758016,9.274111968
50,9.1,9.996088813436481,9.323923397130542
51,8.9,9.967305606104963,9.242615611370287
52,8.7,9.938137095659501,9.129822302938381
53,8.7,9.910247489245009,9.086771565
54,8.8,9.881662048619024,9.101556482
55,8.6,9.850237581990752,9.009030422
56,8.1,9.813726637610218,8.763462548971395
57,7.6,9.771788413732185,8.468278188506451
58,7.5,9.722829848833445,8.314183328886942
59,7,9.664343917367589,8.022504741927872
60,7.2,9.598678971894472,7.988244948254191
61,7.1,9.527435809019757,7.894464520221816
62,6.1,9.450814212003543,7.416442244631829
63,5.5,9.367289497658986,6.996100335885201
64,4.5,9.268868658,6.3995367469523385
65,3.8,9.150371464480736,5.868191393802164
66,3.7,9.011819833,5.590267395430407
67,4.3,8.861553116,5.674368574431597
68,4.2,8.710077271,5.5811902614122815
69,4.1,8.566659701368282,5.4651007468990445
70,3.8,8.432443827775531,5.2616653385090455
71,3,8.302038386694027,4.823832137549669
72,2.1,8.165713664352026,4.271211436550082
73,1.6,8.0186762,3.8360302403340474
74,1.5,7.859667464695102,3.5865701415637963
75,1.5,7.691565676,3.4313017663475573
76,1.4,7.521384898,3.2712938895524486
77,1.3,7.3550880971823975,3.1205408451402987
78,1.3,7.195415540029041,3.019974290738288
79,1.5,7.045145027362274,3.0223472576545567
80,1.6,6.905290619887165,3.0189060567852697
81,1.7,6.777126600831795,3.024598108147257
82,2.2,6.6619690419682245,3.207586891056053
83,2.7,6.560146894800707,3.4475118820543935
84,3,6.474988741429149,3.635470977372521
85,3.3,6.409355653632437,3.8213264193920713
86,3.3,6.361173194758048,3.8852690280233246
87,3.8,6.327667034288438,4.128212515213983
88,3.6,6.304026782420879,4.124271419110141
89,3.6,6.288440779527728,4.1428283965601835
90,3.2,6.273841477,3.989234176034121
91,3.1,6.256491833829262,3.9083281801549767
92,3,6.2328223230816935,3.835433868746752
93,2.9,6.202009819587223,3.762409539282588
94,2.2,6.1598772637440184,3.4351347274972386
95,1.9,6.109853750283604,3.2002993258268884
96,1.6,6.049635897453432,2.9741261748269134
97,1.5,5.975703945216138,2.8305198734930324
98,1.2,5.89079066,2.6239938283828033
99,1.3,5.803760928958224,2.5703988072800703
100,1.3,5.715915310822506,2.516086198918416
101,0.9,5.626992980257393,2.3013003819788227
102,0.8,5.539350373246598,2.169867239110176
103,0.9,5.451563692329548,2.138685133665777
104,0.8,5.3626685431621794,2.0540296192374656
105,0.6,5.2749218231317245,1.9188091144873318
106,1.3,5.191754786,2.147927975942788
107,1,5.111685789864571,2.0597597310089726
108,1.6,5.040882248841863,2.280628956538811
109,2.8,4.985060395379536,2.835836670331227
110,3.6,4.9506329996107805,3.3377552137000115
111,4.1,4.945362861888574,3.7299070521820736
112,4.1,4.966739259604443,3.8945323287969527
113,3.6,5.0036722374275495,3.7854109592011964
114,3.1,5.042143715630638,3.585067915420344
115,2.5,5.069227694990301,3.2931332942291385
116,2.2,5.078304081707256,3.082546848377971
117,1.7,5.066289880220934,2.7945782412080686
118,1.1,5.036402036779516,2.436493055379667
119,0.9,4.9898644665976555,2.2163492230671937
120,1,4.927860321385107,2.1514659707410293
121,1.1,4.855966749034946,2.133737109286169
122,0.9,4.781934524530624,2.0133602474606658
123,0.9,4.707651384965644,1.9547952833042817
124,0.5,4.631737298372927,1.7431780441483316
125,0.5,4.5546616043765304,1.6581125909021015
126,0.8,4.478136760523649,1.7277492961596153
127,0.9,4.406841405758825,1.7623984334756981
128,1.2,4.344383973128799,1.883183647
129,1.4,4.289283941176293,1.9914650911670797
130,2,4.244430296943177,2.2733907907673787
131,2.5,4.2147400957502645,2.568700189617897
132,3.1,4.2025023034990605,2.9250661868343615
133,3.3,4.208747995340638,3.140814100490432
134,3.5,4.230785666682917,3.3262261552001227
135,3.7,4.2637874408819805,3.5006289425759234
136,3.6,4.303722600176935,3.543761976554272
137,3.2,4.344934751,3.4212521541168948
138,2.8,4.380856360417387,3.2413810292445917
139,2.7,4.406108927789587,3.1553558894396616
140,2.3,4.415218959458444,2.9578422105157647
141,2.2,4.411157676273626,2.8523722975292616
